task_type,sleep_hours,energy_level,day_of_week,hour_of_day,description_len,minutes
admin,3.9,9,6,8,156,62
programming,10.0,2,2,11,146,110
meeting,6.6,5,4,20,125,88
meeting,4.0,8,5,15,104,92
creative,7.2,10,2,18,170,88
admin,7.1,8,6,15,164,44
meeting,6.9,3,3,13,182,79
programming,8.5,2,6,18,139,126
admin,8.1,9,5,14,88,46
programming,7.4,3,6,19,66,106
programming,7.7,8,0,20,104,130
programming,6.8,2,1,11,66,119
admin,9.7,3,4,11,153,52
programming,4.8,1,3,18,116,153
meeting,7.2,6,1,9,88,56
creative,7.1,7,2,12,143,97
programming,8.2,4,1,7,23,111
meeting,5.7,1,5,9,36,76
meeting,4.4,3,5,17,47,83
programming,7.2,9,0,8,156,118
creative,7.4,5,1,13,174,109
programming,9.2,6,6,15,136,109
meeting,5.1,4,1,10,13,40
admin,8.7,1,5,13,67,37
admin,10.0,5,2,14,146,58
admin,6.4,5,2,16,122,50
programming,5.1,5,4,8,177,142
programming,6.4,6,6,13,152,131
admin,7.0,2,6,19,13,31
meeting,7.8,1,2,18,61,67
creative,6.1,2,1,9,155,95
creative,9.3,10,0,14,190,88
creative,5.3,6,2,12,196,109
meeting,4.4,5,6,9,108,69
programming,8.7,5,6,14,191,124
creative,3.6,6,5,17,178,122
meeting,6.7,10,5,19,197,83
programming,10.0,7,4,9,102,96
creative,7.0,9,4,15,126,89
creative,5.3,7,1,17,13,96
meeting,6.9,2,2,9,94,58
programming,6.9,6,2,7,176,138
meeting,7.2,9,4,19,16,48
creative,8.0,7,2,8,134,84
planning,5.4,2,1,10,160,55
programming,9.5,3,0,19,94,131
programming,7.4,8,5,17,72,109
creative,8.1,9,1,8,132,89
meeting,6.1,4,2,10,178,68
meeting,8.9,9,1,10,98,52
planning,6.6,2,5,10,104,56
programming,7.4,5,3,7,128,116
admin,5.6,2,6,15,53,41
programming,5.5,1,5,16,111,166
meeting,8.0,5,6,17,54,59
creative,6.3,2,5,13,126,97
meeting,5.7,7,3,8,60,59
planning,6.0,8,2,9,74,38
admin,8.0,2,2,19,63,31
programming,6.1,7,0,14,193,136
programming,6.8,4,5,13,81,119
meeting,7.0,1,1,10,129,79
meeting,4.1,3,0,10,177,92
programming,4.8,1,2,15,195,172
meeting,7.5,5,2,21,152,87
meeting,5.9,8,4,11,28,72
admin,8.6,1,0,20,19,28
admin,8.5,9,2,19,25,24
admin,8.1,3,3,17,180,40
programming,9.7,5,6,11,168,106
programming,6.9,9,4,21,117,136
admin,8.0,5,1,13,25,19
meeting,6.1,9,6,7,89,58
programming,10.0,10,4,9,37,75
creative,10.0,8,5,8,199,97
creative,7.0,7,5,17,157,99
meeting,7.6,1,1,16,172,81
programming,9.0,4,3,12,196,114
creative,6.8,9,1,17,18,70
admin,6.0,10,0,18,113,47
creative,8.3,8,6,12,147,92
creative,7.1,4,1,16,54,69
creative,7.3,1,1,7,118,93
meeting,5.7,10,4,20,152,85
programming,4.4,4,3,20,39,153
admin,7.4,3,1,12,57,27
admin,8.4,6,0,16,177,48
admin,6.7,5,4,8,100,38
programming,9.2,5,3,17,100,109
programming,5.9,2,3,10,83,114
creative,5.4,3,2,12,53,88
admin,6.9,6,5,9,183,45
planning,6.9,2,6,9,143,45
creative,8.2,4,0,18,126,90
admin,5.8,2,5,9,33,24
admin,9.1,9,4,10,16,7
creative,10.0,3,4,15,15,73
admin,6.9,10,0,10,127,40
admin,8.9,10,3,19,170,54
programming,5.4,6,1,10,94,116
meeting,8.6,1,0,10,119,60
admin,8.6,10,4,13,175,59
programming,8.3,3,5,11,181,105
programming,7.0,8,6,18,154,122
programming,3.0,5,0,8,40,129
programming,6.0,8,3,13,174,129
programming,6.1,2,6,9,148,142
meeting,5.5,7,6,17,142,82
planning,7.2,9,6,7,73,34
meeting,6.4,7,2,15,85,56
programming,5.8,3,6,11,140,145
programming,5.4,7,2,16,65,117
admin,5.9,8,1,7,72,30
meeting,8.7,1,1,17,114,84
creative,6.0,3,6,7,47,71
admin,6.2,5,3,7,63,45
creative,6.3,6,5,18,139,87
programming,7.5,3,1,15,11,109
admin,7.7,4,2,19,149,45
programming,3.0,5,3,14,49,122
planning,8.5,3,6,17,11,36
admin,9.2,4,3,19,114,49
programming,5.4,5,3,21,134,141
programming,5.5,2,0,19,89,131
programming,6.3,10,5,12,194,147
admin,5.9,9,6,16,56,37
programming,7.3,10,5,21,173,153
admin,4.1,8,1,21,141,66
programming,5.3,6,5,12,161,142
admin,9.3,10,4,12,100,39
creative,5.6,3,2,10,110,98
creative,8.9,2,1,11,199,93
creative,7.5,7,6,16,139,87
programming,4.3,8,5,9,24,114
programming,8.0,10,2,9,58,84
admin,6.8,1,6,16,121,59
meeting,6.3,6,6,13,44,61
meeting,7.4,7,1,11,125,55
programming,7.7,9,4,14,103,109
programming,8.1,3,2,11,184,109
programming,8.8,2,4,18,33,110
creative,7.6,5,2,10,69,64
programming,4.9,10,0,20,86,149
admin,6.3,1,6,9,57,20
programming,10.0,6,0,18,160,112
admin,8.1,9,2,8,149,45
programming,10.0,10,2,9,50,85
creative,9.1,9,4,13,166,79
creative,7.4,7,6,14,188,97
programming,7.5,7,5,21,137,134
planning,6.9,8,6,11,160,65
planning,4.4,10,3,17,40,54
creative,7.0,2,2,7,158,101
creative,8.8,6,1,9,33,71
programming,6.1,5,1,10,18,93
admin,7.6,5,1,16,159,39
programming,8.3,3,0,19,141,134
programming,5.6,3,5,19,86,146
planning,6.3,6,4,18,140,67
programming,5.5,10,5,10,129,112
admin,5.8,10,0,18,165,43
creative,5.1,7,5,7,99,89
creative,5.6,1,5,16,126,128
planning,9.1,3,6,15,119,45
programming,5.6,1,1,18,130,158
programming,7.2,10,2,16,107,114
meeting,6.2,3,1,21,24,82
programming,8.8,5,5,21,145,129
programming,9.0,9,2,10,185,111
meeting,8.3,3,6,8,61,53
creative,7.5,10,4,19,64,67
admin,6.7,10,3,15,46,36
programming,5.2,9,2,20,141,154
admin,9.9,1,0,10,64,35
programming,5.9,6,1,10,21,97
programming,8.0,9,6,17,156,110
creative,8.6,5,6,12,194,89
admin,6.2,10,1,14,46,34
creative,8.6,2,5,11,16,63
programming,8.1,5,5,18,64,102
creative,9.6,1,5,14,37,77
admin,6.3,9,6,7,46,29
admin,5.1,10,5,19,198,60
admin,6.2,10,1,10,84,47
creative,7.3,9,2,7,123,90
admin,7.1,6,4,9,176,50
admin,6.4,9,2,17,115,35
planning,4.1,3,0,13,160,69
creative,7.7,4,1,7,189,91
meeting,10.0,6,2,11,119,55
admin,7.7,4,1,7,93,23
meeting,7.9,1,6,12,20,58
programming,7.9,7,0,15,75,121
admin,7.6,5,6,9,22,24
planning,8.4,8,3,17,178,68
planning,7.6,9,3,17,186,72
programming,6.5,5,3,20,24,128
meeting,5.8,8,1,18,65,63
programming,6.6,1,2,21,191,173
planning,7.5,1,1,12,168,69
planning,6.5,7,6,10,198,66
admin,7.5,6,4,12,195,49
creative,7.7,5,6,8,197,106
admin,8.2,5,2,10,62,23
admin,8.9,9,6,19,70,55
programming,7.1,1,6,19,137,144
meeting,5.0,8,0,13,51,65
admin,6.5,2,5,17,38,48
admin,7.1,7,3,12,164,33
meeting,4.2,6,2,15,53,66
planning,9.1,10,2,17,142,52
programming,7.2,2,3,13,189,143
meeting,7.6,3,6,7,122,75
admin,9.0,4,0,12,115,40
admin,6.1,7,1,17,190,69
admin,7.9,8,1,9,189,55
programming,6.8,2,6,14,47,125
programming,6.7,8,6,19,181,135
admin,5.8,9,5,7,190,47
admin,9.5,7,2,16,124,44
programming,6.4,1,3,8,139,148
admin,8.0,6,6,9,118,30
meeting,4.2,8,6,20,191,115
admin,8.8,5,4,9,93,18
creative,8.6,2,0,13,172,120
programming,7.1,5,1,19,55,106
programming,6.7,8,0,14,101,111
creative,7.6,2,0,21,114,114
admin,10.0,1,5,15,192,64
admin,4.4,4,0,13,81,58
creative,8.2,4,3,14,148,104
creative,5.6,9,5,17,38,68
planning,7.0,3,6,21,56,53
meeting,6.6,4,3,12,120,67
meeting,6.4,3,5,8,16,65
meeting,7.0,2,3,7,126,90
programming,5.3,4,5,9,73,104
admin,8.5,8,5,15,91,36
programming,4.3,1,2,19,73,148
planning,7.8,8,3,13,101,55
admin,6.5,8,2,8,21,29
admin,5.2,3,6,20,21,47
meeting,7.3,10,5,7,45,52
programming,4.7,10,1,8,38,120
programming,7.1,6,5,21,148,151
meeting,4.9,4,1,9,190,84
programming,7.7,1,1,20,94,158
admin,5.6,1,1,12,83,54
creative,6.3,5,1,18,56,95
creative,7.4,8,3,15,170,89
admin,5.8,1,4,14,90,62
programming,6.9,2,3,16,130,132
creative,4.7,7,6,15,52,92
creative,7.9,8,4,17,155,84
programming,9.6,3,3,17,83,106
admin,10.0,8,6,14,62,41
programming,7.1,1,1,13,48,124
creative,8.2,9,0,12,116,91
planning,4.3,2,5,14,171,81
programming,9.3,2,4,12,46,115
creative,8.2,4,0,8,178,99
admin,6.3,10,1,19,106,51
planning,8.9,3,4,15,58,51
meeting,6.6,4,0,15,137,74
creative,6.3,6,3,9,19,67
programming,7.7,7,6,15,49,113
programming,5.4,5,1,8,155,137
programming,8.5,2,3,18,162,129
planning,5.4,3,3,20,115,66
creative,5.4,10,1,9,50,79
creative,5.6,3,4,20,173,127
planning,8.1,5,5,12,11,35
programming,6.1,5,2,20,186,161
meeting,5.0,4,2,10,62,72
programming,6.1,8,5,14,156,133
programming,7.0,6,1,7,35,115
programming,5.2,6,2,19,63,132
meeting,5.3,1,5,12,60,76
programming,10.0,6,0,8,162,130
programming,5.7,3,5,12,123,137
programming,6.5,6,4,20,26,133
programming,6.4,10,6,7,129,118
planning,6.4,6,5,21,198,83
creative,7.9,2,3,8,55,82
planning,8.4,1,3,15,64,52
meeting,6.5,3,6,12,59,55
programming,5.1,5,1,14,84,110
creative,8.9,4,3,13,20,58
programming,6.9,7,0,15,149,129
programming,9.6,4,5,15,177,132
programming,3.6,8,6,17,57,141
programming,7.3,7,0,10,130,104
programming,9.9,10,1,13,65,103
meeting,6.5,9,3,11,17,42
admin,6.7,1,6,13,23,42
programming,7.4,5,2,10,123,99
programming,6.2,4,5,18,193,153
creative,6.5,6,2,16,63,76
programming,6.5,1,4,17,26,138
programming,6.1,6,1,17,182,138
creative,8.8,1,4,7,142,99
programming,7.7,1,2,10,140,117
programming,7.4,8,2,21,18,139
meeting,8.2,2,2,19,131,83
programming,6.6,10,4,16,123,126
admin,5.8,6,6,21,29,36
creative,6.1,6,1,9,92,72
programming,7.0,6,5,15,30,108
admin,5.4,8,6,11,42,28
meeting,6.2,4,5,10,142,73
programming,6.2,3,0,14,161,149
admin,10.0,6,0,21,35,34
programming,3.0,4,2,11,117,138
meeting,6.7,2,1,9,98,79
programming,9.6,6,1,8,101,102
meeting,7.2,10,3,21,42,54
programming,8.1,5,3,14,27,88
creative,7.1,9,6,18,27,70
programming,6.0,6,4,8,175,141
meeting,3.6,3,3,20,42,85
meeting,7.3,5,6,14,36,83
admin,5.8,10,5,11,58,33
admin,5.8,8,5,14,187,58
admin,6.3,9,6,11,152,37
creative,9.6,8,4,7,117,70
creative,10.0,3,0,18,189,86
programming,7.3,9,2,19,77,120
meeting,6.3,3,1,17,108,85
creative,5.2,8,0,20,28,97
planning,7.7,10,6,17,34,27
creative,9.7,9,5,8,113,78
meeting,6.6,7,0,20,85,89
programming,3.4,4,4,12,85,140
meeting,8.0,10,2,9,115,53
admin,8.5,9,5,14,162,46
meeting,4.6,3,4,11,42,61
meeting,7.3,3,6,9,197,87
creative,7.7,2,0,18,46,61
meeting,6.9,10,1,16,101,69
creative,5.8,3,3,13,133,96
meeting,8.5,1,4,20,52,73
programming,6.4,4,5,14,135,137
meeting,4.8,8,0,10,18,43
creative,3.9,5,3,19,23,85
programming,8.9,2,3,19,140,133
programming,7.9,3,0,17,78,118
planning,7.1,1,2,15,193,79
programming,6.3,2,0,12,35,128
admin,6.2,1,5,20,136,65
admin,5.4,2,6,7,62,32
meeting,6.4,3,1,11,50,69
admin,3.8,1,5,11,91,35
programming,5.9,9,6,13,111,128
admin,6.5,10,3,13,30,22
meeting,7.9,5,1,12,130,55
admin,6.9,8,4,21,48,31
programming,8.2,5,3,21,160,140
admin,9.0,8,2,14,195,66
programming,8.6,7,0,8,78,119
programming,7.7,4,4,20,84,135
programming,7.0,7,5,19,166,116
programming,5.5,6,1,19,71,110
creative,8.1,3,4,13,190,106
programming,9.5,9,2,16,54,105
planning,7.5,10,0,21,36,41
planning,9.9,9,4,13,125,43
admin,4.7,5,5,10,171,61
programming,5.3,8,1,18,151,127
meeting,8.3,7,4,16,50,50
creative,7.4,9,0,8,115,87
meeting,9.0,7,5,10,83,39
programming,7.0,4,4,10,69,110
admin,5.7,4,1,18,51,53
creative,6.7,8,0,18,131,91
creative,4.7,6,2,12,188,109
programming,5.3,9,2,20,20,141
admin,8.5,10,3,13,172,53
programming,8.3,7,4,9,156,101
programming,7.5,7,1,21,127,130
creative,4.4,4,4,16,74,92
programming,6.5,3,0,7,198,148
programming,5.2,8,3,9,56,99
programming,8.8,7,1,15,23,83
creative,6.1,4,4,7,76,83
creative,5.4,4,1,19,189,100
admin,7.0,1,0,14,118,52
creative,6.0,7,3,8,169,72
programming,9.2,1,1,12,19,102
meeting,5.9,10,0,9,133,82
meeting,4.9,10,2,13,26,59
programming,3.8,4,1,8,177,160
meeting,7.0,3,3,10,152,74
planning,6.2,3,6,16,106,52
programming,4.9,1,5,15,176,176
programming,8.8,4,5,12,66,102
programming,8.0,1,1,10,147,115
programming,7.0,8,1,8,80,117
planning,9.0,1,0,16,106,40
meeting,8.0,6,4,20,26,59
meeting,5.8,7,5,15,85,64
creative,5.4,10,4,21,26,93
programming,8.2,2,5,10,120,109
meeting,7.6,4,1,15,129,75
meeting,7.3,3,3,20,153,102
admin,5.7,9,3,8,128,50
planning,7.9,7,6,13,87,43
creative,5.9,2,5,17,12,88
meeting,6.8,6,5,17,117,76
creative,9.2,9,0,11,60,66
programming,6.0,3,1,14,123,145
programming,4.6,6,1,17,103,114
programming,5.4,3,6,20,183,182
programming,8.5,3,4,14,125,124
meeting,7.4,4,0,20,192,85
admin,6.8,9,2,20,114,50
planning,6.2,8,3,10,108,57
meeting,7.7,1,3,19,163,83
meeting,5.7,1,1,10,85,77
programming,7.5,7,6,21,168,156
programming,5.9,3,0,14,90,143
admin,5.7,7,2,9,81,45
meeting,6.0,9,3,13,156,91
creative,6.4,3,0,14,152,98
programming,6.9,3,2,14,120,126
programming,7.4,2,5,17,67,101
meeting,3.0,10,1,16,87,70
programming,5.8,1,4,10,167,152
programming,6.4,9,3,15,57,107
admin,9.3,6,3,21,65,40
programming,5.4,6,2,16,51,120
admin,7.2,8,4,10,33,35
programming,9.2,5,5,14,119,95
programming,5.0,9,0,12,61,125
meeting,7.6,5,1,11,180,76
creative,5.8,2,0,21,43,102
meeting,6.2,6,2,10,197,88
creative,5.8,9,3,11,12,53
programming,5.9,3,5,21,77,167
creative,10.0,10,3,19,148,69
programming,8.3,4,0,21,150,138
admin,8.7,10,5,17,59,30
admin,7.7,8,6,7,91,39
planning,4.6,6,1,13,28,28
meeting,7.6,7,2,14,53,64
programming,8.6,7,1,18,170,127
programming,5.7,4,2,15,175,158
creative,8.4,6,1,19,12,68
meeting,8.1,9,6,9,122,56
creative,9.8,3,0,21,74,87
programming,6.4,8,4,15,172,129
programming,5.4,7,5,16,173,158
programming,6.5,4,2,11,175,125
planning,9.2,10,0,16,48,39
admin,4.3,3,3,12,162,69
planning,3.9,7,3,7,73,44
programming,7.1,10,1,15,113,121
admin,6.3,9,3,15,22,31
admin,7.0,10,4,12,77,43
programming,8.4,3,2,14,79,120
creative,6.2,10,1,10,84,75
planning,4.2,9,2,11,10,25
creative,10.0,8,2,11,191,83
admin,5.5,3,6,13,107,52
programming,5.4,8,0,13,113,144
programming,8.7,4,3,13,125,107
planning,6.4,6,5,11,146,46
programming,6.9,10,2,10,173,105
admin,7.7,2,4,14,122,39
admin,8.6,8,6,7,112,48
admin,6.5,9,4,7,46,41
planning,9.3,7,5,12,115,34
programming,3.8,8,3,8,196,146
programming,8.1,7,3,18,117,100
programming,5.7,10,1,9,30,92
meeting,9.1,4,1,10,157,68
programming,7.2,1,1,20,138,165
programming,6.0,3,3,8,196,154
creative,8.0,7,2,16,37,51
planning,8.3,7,0,13,193,61
programming,8.0,3,5,21,117,156
meeting,5.5,1,6,16,18,79
planning,6.3,10,5,7,173,79
programming,7.0,9,5,9,171,120
programming,6.9,6,1,8,41,100
programming,8.1,7,0,19,75,105
admin,4.0,1,4,15,109,72
programming,7.5,1,3,14,162,137
planning,6.6,4,4,9,188,79
meeting,5.7,7,1,11,182,60
meeting,5.9,8,2,9,163,80
programming,6.7,10,6,20,30,135
meeting,3.0,9,6,17,91,82
admin,5.9,1,1,19,188,65
creative,5.7,4,0,18,33,85
creative,7.8,4,6,17,120,90
admin,5.8,3,1,18,101,41
planning,6.7,7,5,17,21,35
creative,9.3,1,2,12,148,88
creative,8.5,9,2,11,164,88
programming,8.4,8,3,17,32,106
programming,6.3,2,3,8,170,163
programming,7.8,2,5,20,101,143
admin,6.6,8,2,16,175,40
meeting,6.7,1,5,14,192,97
meeting,7.6,7,2,12,179,69
creative,6.1,9,0,20,132,115
creative,9.2,3,1,21,166,95
planning,6.8,7,3,9,43,45
programming,7.9,6,0,19,134,116
admin,9.2,7,6,21,66,22
programming,8.5,7,1,19,12,95
programming,4.9,10,3,7,15,116
programming,7.7,1,6,11,57,112
programming,8.3,3,5,18,111,125
meeting,8.3,10,6,17,129,49
creative,5.3,1,0,8,22,88
programming,6.0,5,4,19,45,112
admin,8.5,3,6,8,79,34
meeting,5.9,1,4,15,42,68
programming,6.6,2,3,17,114,144
meeting,9.4,10,0,19,66,43
programming,6.9,5,6,21,64,131
admin,5.9,3,1,16,116,45
meeting,5.7,6,6,13,150,79
programming,7.5,9,1,12,60,97
programming,5.0,6,0,21,101,175
meeting,6.6,2,4,19,62,76
planning,7.5,2,0,7,45,62
programming,8.9,8,4,21,142,143
admin,8.0,8,4,20,128,54
admin,5.9,6,5,16,34,29
planning,8.8,10,5,8,90,59
creative,6.6,7,1,17,46,80
admin,5.1,1,3,13,28,33
admin,6.7,9,2,21,44,50
creative,9.2,5,0,9,116,63
meeting,7.2,9,4,8,171,73
programming,7.0,2,0,12,63,145
programming,9.5,8,3,14,183,128
creative,4.9,7,3,21,15,76
creative,5.1,4,2,14,138,111
programming,4.6,3,6,17,43,126
admin,7.6,4,2,8,65,29
meeting,7.2,4,4,12,106,90
programming,9.3,10,5,18,35,110
planning,7.4,10,6,11,179,76
programming,6.4,8,2,13,100,115
programming,7.0,4,5,10,47,96
admin,7.2,5,6,18,163,52
admin,4.5,2,5,19,68,49
programming,10.0,4,4,8,136,116
admin,7.8,7,1,16,33,41
meeting,7.3,3,5,9,120,71
programming,7.9,1,4,15,30,126
programming,8.1,8,2,16,69,96
admin,6.8,8,0,14,99,36
programming,6.1,6,2,19,157,134
planning,7.9,7,3,15,15,29
creative,7.6,10,2,11,19,66
planning,5.8,2,1,19,149,76
programming,9.1,5,4,11,106,96
planning,7.4,7,5,13,159,65
meeting,8.1,9,3,13,199,97
programming,9.1,1,4,7,198,152
programming,7.0,3,4,18,89,128
programming,7.5,6,5,21,26,132
admin,8.2,7,6,20,147,65
meeting,5.9,6,2,11,149,85
programming,7.1,1,0,14,92,132
admin,7.2,4,6,13,49,38
programming,5.6,6,3,17,160,134
admin,10.0,8,5,8,177,51
meeting,4.9,10,1,20,83,89
creative,5.1,4,1,14,83,81
creative,9.0,7,0,8,59,74
meeting,8.1,3,0,16,19,47
meeting,5.5,8,2,7,112,65
meeting,7.9,1,1,17,103,79
creative,9.2,4,3,17,141,86
programming,7.0,8,5,20,138,149
programming,10.0,10,0,17,52,97
programming,4.4,4,0,9,92,119
meeting,8.0,2,0,9,142,72
meeting,8.7,2,5,12,113,61
creative,8.3,4,3,18,43,70
programming,6.7,4,1,9,33,114
meeting,6.6,2,6,13,151,75
creative,7.7,7,3,14,50,82
creative,8.2,6,5,9,179,102
meeting,7.9,3,3,15,22,48
meeting,8.6,8,2,7,166,78
programming,5.5,8,6,21,183,158
planning,6.7,1,5,9,171,54
programming,5.6,3,6,18,141,145
planning,6.4,5,6,9,37,40
admin,8.5,2,0,13,92,35
meeting,7.2,5,1,17,138,64
programming,10.0,10,6,17,173,115
meeting,7.3,3,2,11,116,74
meeting,7.1,9,2,10,22,54
programming,7.2,1,5,8,123,143
admin,6.0,4,4,13,115,42
planning,6.9,10,0,9,14,23
admin,8.7,6,1,13,106,50
admin,7.2,9,1,16,23,39
programming,5.8,3,1,18,89,128
meeting,5.6,3,5,13,129,81
programming,6.3,5,0,17,169,121
admin,7.1,7,6,8,187,59
planning,8.8,5,6,13,164,76
admin,5.0,8,5,12,44,40
programming,6.5,5,1,16,12,121
meeting,7.2,7,6,10,13,41
admin,4.2,6,3,17,144,41
meeting,5.7,10,3,11,140,84
creative,6.0,2,0,18,90,98
creative,5.8,3,1,14,120,92
admin,7.3,4,5,11,68,47
meeting,6.8,5,4,9,83,54
programming,6.2,9,4,8,138,119
programming,7.6,6,4,12,165,127
meeting,9.6,1,3,12,68,56
meeting,9.5,3,5,13,127,81
admin,4.1,7,4,14,190,51
admin,7.9,8,1,10,147,46
programming,6.7,7,1,18,112,122
meeting,7.2,5,4,14,140,75
programming,6.4,10,2,18,144,117
programming,7.2,8,4,7,18,98
creative,7.2,9,2,12,108,94
programming,6.1,7,0,12,150,129
meeting,5.7,9,0,9,177,70
programming,6.3,1,1,15,123,141
creative,7.4,9,5,18,71,66
admin,7.9,3,3,18,71,18
programming,8.3,6,5,11,19,81
meeting,6.3,8,1,21,96,82
admin,7.4,3,1,7,20,32
planning,8.4,4,5,13,71,48
programming,8.7,7,3,16,86,110
creative,6.9,7,1,21,113,102
planning,6.7,4,6,20,65,72
planning,7.3,9,6,9,119,43
admin,5.3,3,3,16,58,35
admin,6.7,8,1,16,25,40
meeting,8.1,8,6,17,82,57
creative,8.0,4,0,10,125,77
meeting,6.6,7,2,12,102,72
admin,7.3,4,1,14,146,58
meeting,5.8,1,2,19,42,72
admin,8.1,1,4,10,97,32
creative,6.9,1,6,21,172,126
programming,6.6,2,1,18,48,128
creative,6.5,6,0,15,123,87
meeting,6.9,10,3,14,86,61
creative,6.3,5,0,16,96,78
meeting,8.0,2,2,16,162,91
meeting,6.4,8,3,12,123,72
planning,9.4,9,0,13,65,41
programming,9.2,7,0,14,185,129
creative,5.7,9,0,8,147,87
meeting,7.1,4,5,11,50,54
meeting,6.0,7,3,19,113,84
programming,6.5,5,0,13,108,120
admin,10.0,5,6,14,68,34
programming,6.5,3,6,11,165,129
programming,7.5,9,0,9,131,114
programming,7.8,10,2,21,129,139
programming,5.5,5,0,12,50,137
planning,5.7,6,6,11,75,47
planning,5.2,3,0,14,188,71
meeting,5.7,10,4,15,71,78
admin,3.0,7,3,15,167,56
programming,7.8,9,4,18,49,95
admin,10.0,9,5,18,49,19
creative,7.2,10,2,12,111,88
planning,4.9,10,4,21,199,79
meeting,6.0,5,5,10,24,44
creative,6.3,7,1,10,133,79
programming,5.5,3,3,15,140,141
planning,8.3,6,0,10,33,39
programming,8.2,8,4,14,178,126
admin,5.3,8,4,15,57,33
admin,8.1,2,0,11,198,60
admin,9.3,6,0,19,57,29
programming,9.9,7,2,12,56,102
planning,10.0,7,4,9,193,56
programming,5.6,3,4,18,114,133
admin,10.0,9,6,11,122,41
programming,6.5,2,1,11,17,107
programming,6.1,3,6,21,27,155
meeting,7.5,2,5,20,117,92
meeting,6.1,9,1,8,93,65
programming,7.6,4,6,16,160,116
programming,5.0,2,4,12,74,149
meeting,6.6,3,1,15,118,79
creative,8.9,4,4,17,55,81
creative,6.9,10,3,21,75,99
programming,7.2,6,2,13,89,126
meeting,7.7,5,1,20,159,84
programming,8.8,3,4,14,149,126
programming,4.5,10,1,8,156,149
admin,7.9,8,5,17,159,56
admin,6.6,8,2,19,192,59
programming,7.2,7,3,20,115,127
programming,8.6,3,0,15,135,109
programming,5.2,1,0,9,199,149
creative,5.5,5,1,16,188,106
planning,4.1,1,4,11,185,60
programming,6.2,6,5,20,154,156
programming,9.0,7,2,13,22,99
creative,6.8,5,3,10,37,64
planning,5.0,4,3,13,132,65
meeting,6.3,2,6,14,76,77
programming,4.8,5,3,21,14,131
programming,5.3,9,0,19,109,134
admin,7.6,4,2,16,197,51
meeting,5.2,2,6,20,152,104
programming,8.7,6,0,16,90,101
admin,6.9,8,1,10,53,37
programming,7.1,2,3,21,128,152
creative,6.6,9,2,11,55,80
programming,8.2,7,3,17,166,139
programming,8.2,2,0,9,77,93
admin,7.5,5,0,11,137,38
meeting,7.8,5,0,14,58,61
planning,6.7,7,3,9,180,54
meeting,7.8,5,2,21,111,75
programming,6.5,6,2,20,86,143
admin,7.0,9,1,19,29,21
programming,6.6,3,3,11,120,119
planning,6.3,3,1,16,155,73
meeting,6.0,8,5,7,186,85
meeting,7.7,10,1,8,124,60
programming,9.0,6,1,9,179,121
meeting,8.8,10,1,7,21,60
creative,5.1,3,0,19,88,100
creative,8.9,2,5,17,128,84
programming,6.5,2,6,18,45,117
programming,7.9,2,1,17,17,88
creative,5.6,5,2,15,37,73
planning,7.2,5,1,15,125,63
programming,7.5,1,0,11,95,111
meeting,4.8,2,4,20,197,109
programming,7.9,2,6,10,58,110
creative,9.0,4,5,11,175,96
programming,6.7,7,4,10,89,99
programming,9.0,3,4,18,195,138
creative,6.7,5,5,11,14,54
programming,8.3,9,3,13,55,97
meeting,3.7,5,6,17,107,65
meeting,10.0,9,6,14,111,68
programming,9.2,1,2,8,11,109
meeting,6.6,9,0,10,34,45
meeting,4.0,5,5,14,10,60
programming,7.4,8,4,13,177,124
admin,4.8,5,0,15,77,32
creative,7.7,6,0,11,78,71
creative,7.6,8,3,12,25,64
programming,5.6,2,4,21,191,188
programming,8.7,3,1,17,27,92
programming,8.2,9,0,14,116,110
meeting,8.5,5,4,21,26,59
meeting,7.0,5,6,18,134,66
admin,4.9,9,0,20,91,52
programming,8.5,10,3,21,13,98
programming,6.6,3,3,17,124,129
meeting,4.9,4,1,21,104,95
admin,9.0,7,3,11,104,53
programming,10.0,2,4,20,146,145
admin,6.9,8,5,15,40,30
programming,10.0,5,3,10,142,109
creative,7.1,1,5,14,25,82
creative,6.4,3,1,18,51,74
programming,6.1,9,6,20,178,158
programming,9.5,5,2,9,39,67
meeting,5.8,8,0,11,35,53
programming,8.1,1,0,21,186,157
admin,6.2,7,4,14,40,34
creative,6.3,7,1,21,59,91
admin,8.5,8,1,16,152,41
creative,6.4,3,1,18,61,87
meeting,6.4,1,0,13,175,95
programming,8.7,9,3,7,47,105
admin,9.4,1,0,18,197,57
meeting,8.0,6,0,10,29,44
admin,6.0,9,0,8,108,32
programming,6.2,2,6,8,53,139
programming,7.1,4,6,19,120,115
planning,7.5,2,3,21,98,68
programming,5.5,4,2,13,72,132
planning,8.1,2,4,18,127,61
planning,7.1,1,2,18,187,70
creative,4.4,3,2,9,159,100
admin,5.6,8,0,9,81,35
admin,6.2,5,2,21,63,25
creative,6.9,4,0,12,146,95
programming,9.8,5,0,12,152,129
meeting,7.4,6,4,7,57,56
admin,5.7,6,1,21,157,58
meeting,7.3,5,0,21,172,82
meeting,6.5,6,6,21,110,84
programming,7.5,9,2,7,69,100
admin,7.9,5,4,17,107,46
creative,8.8,6,5,12,171,100
programming,7.0,4,5,13,109,133
planning,9.5,3,5,15,108,41
admin,8.4,6,2,10,82,38
creative,5.9,5,1,20,128,116
admin,10.0,4,3,16,191,52
creative,7.5,5,1,12,137,97
programming,5.7,7,4,18,149,136
